Date,Islamic Date,Blast Day Type,Holiday Type,City,Province,Target Type,Killed Max,Injured Max,No. of Suicide Blasts,Explosive Weight (max),VicTams
Friday-Sep 02-2016,29 Zeqad 1437 A.H.,Working Day,nan,Mardan,KPK,Civilian,14,60,1,6,74
Tuesday-Sep 13-2016,10 Zilhaj 1437 A.H.,Holiday,Eid ul Azha Holiday,Shikarpur,Sindh,religious,0,13,1,1,13
Friday-Sep 16-2016,13 Zilhaj 1437 A.H.,Working Day,nan,Mohmand Agency ,FATA,religious,36,0,1,3,36
Tuesday-Oct-25-2016,23 MuHarram 1438 A.H.,Working Day,nan,Quetta,Balochistan,Police,61,165,2,10,226
Saturday-Nov-12-2016,11 safar 1438 A.H.,Weekend,nan,Khuzdar,Balochistan,Civilian,52,100,1,13,152
Saturday-Nov-26-2016,25 safar 1438 A.H.,Weekend,nan,Mohmand Agency,FATA,Military,2,14,4,1.5,16
Tuesday-Feb-7-2017,09 Jamadi-ul-Awal 1438 A.H. ,Working Day,nan,Bannu,KPK,Police,0,2,1,0.5,2
Monday-Feb-13-2017,16 Jumada al-awwal 1438 A.H,Working Day,nan,Lahore,Punjab,Civilian,18,90,1,9,108
Wednesday-Feb-15-2017,19 Jumada al-awwal 1438 A.H,Working Day,nan,"Ghallanai, Mohmand Agency ",FATA,Army,8,3,1,1,11
Wednesday-Feb-15-2017,19 Jumada al-awwal 1438 A.H,Working Day,nan,Hayatabad,KPK,Civilian Judges,1,18,1,1.5,19
Wednesday-Feb-15-2017,19 Jumada al-awwal 1438 A.H,Working Day,nan,"Mosal Kor, Mohmand Agency",FATA,Government Official,1,0,1,0.5,1
Thursday-Feb-16-2017,20 Jumada al-awwal 1438 A.H,Working Day,nan,Sehwan town,Sindh,Shia sect,72,200,1,23,272
Tuesday-Feb-21-2017,25 Jumada al-awwal 1438 A.H,Working Day,nan,"Tangi, Charsadda District",KPK,Judges & lawyers,7,20,2,1,27
Wednesday-April-05-2017,08 Rajab 1438 A.H,Working Day,nan,Lahore,Punjab,Military,7,22,1,1.5,29
Friday-May-12-2017,15 Shaban 1438 A.H,Working Day,nan,Quetta,Baluchistan,Government Official,28,37,1,5.5,65
Saturday-May-20-2017,23 Shaban 1438 A.H,Weekend,nan,Kohat,KPK,Police,4,0,1,0.5,4
Friday-June-23-2017,27 RamaDHaan 1438 A.H,Working Day,nan,Quetta,Balochistan,Shia sect,85,100,3,5.5,185
Monday-July-10-2017,16 SHawwal 1438 A.H,Working Day,nan,Chaman,Balochistan,Police,3,11,1,1,14
Monday-July-17-2017,22 Shawaal 1438 A.H,Working Day,nan,Peshawar,KPK,Military,2,7,1,1,9
Monday-July-17-2017,22 Shawaal 1438 A.H,Working Day,nan,Peshawar,KPK,Military,1,1,1,0.5,2
Monday-July-24-2017,29 Shawaal 1438 A.H,Working Day,nan,Lahore,Punjab,Police,27,56,1,8,83
Saturday-August-12-2017,12 Zeqad 1438 A.H.,Weekend,nan,Quetta,Balochistan,Military,15,40,1,4.5,55
Thursday-October-05-2017,13 MuHarram 1439 A.H,Working Day,nan,Quetta,Balochistan,Civilian,22,0,1,2,22
Thursday-October-19-2017,27 MuHarram 1439 A.H,Working Day,nan,Quetta,Balochistan,Police,7,22,1,2.5,29
Thursday-November-9-2017,19 Safar 1439 A.H,Working Day,nan,Quetta,Balochistan,Police,2,8,1,1,10
Friday-November-24-2017,5 Rabi Al-Awwal 1439 A.H,Working Day,nan,Peshawar,KPK,Police,3,8,1,1,11
Saturday-November-25-2017,6 Rabi Al-Awwal 1439 A.H,Working Day,nan,Quetta,Balochistan,Military,4,22,1,2,26
